Código;Espacialidades;População total 2010
76;Brasil;190755799
3500105;Adamantina;33797
3500204;Adolfo;3557
3500303;Aguaí;32148
3500402;Águas da Prata;7584
3500501;Águas de Lindóia;17266
3500550;Águas de Santa Bárbara;5601
3500600;Águas de São Pedro;2707
3500709;Agudos;34524
3500758;Alambari;4884
3500808;Alfredo Marcondes;3891
3500907;Altair;3815
3501004;Altinópolis;15607
3501103;Alto Alegre;4102
3501152;Alumínio;16839
3501202;Álvares Florence;3897
3501301;Álvares Machado;23513
3501400;Álvaro de Carvalho;4650
3501509;Alvinlândia;3000
3501608;Americana;210638
3501707;Américo Brasiliense;34478
3501806;Américo de Campos;5706
3501905;Amparo;65829
3502002;Analândia;4293
3502101;Andradina;55334
3502200;Angatuba;22210
3502309;Anhembi;5653
3502408;Anhumas;3738
3502507;Aparecida;35007
3502606;Aparecida D'Oeste;4450
3502705;Apiaí;25191
3502754;Araçariguama;17080
3502804;Araçatuba;181579
3502903;Araçoiaba da Serra;27299
3503000;Aramina;5152
3503109;Arandu;6123
3503158;Arapeí;2493
3503208;Araraquara;208662
3503307;Araras;118843
3503356;Arco-Íris;1925
3503406;Arealva;7841
3503505;Areias;3696
3503604;Areiópolis;10579
3503703;Ariranha;8547
3503802;Artur Nogueira;44177
3503901;Arujá;74905
3503950;Aspásia;1809
3504008;Assis;95144
3504107;Atibaia;126603
3504206;Auriflama;14202
3504305;Avaí;4959
3504404;Avanhandava;11310
3504503;Avaré;82934
3504602;Bady Bassitt;14603
3504701;Balbinos;3702
3504800;Bálsamo;8160
3504909;Bananal;10223
3505005;Barão de Antonina;3116
3505104;Barbosa;6593
3505203;Bariri;31593
3505302;Barra Bonita;35246
3505351;Barra do Chapéu;5244
3505401;Barra do Turvo;7729
3505500;Barretos;112101
3505609;Barrinha;28496
3505708;Barueri;240749
3505807;Bastos;20445
3505906;Batatais;56476
3506003;Bauru;343937
3506102;Bebedouro;75035
3506201;Bento de Abreu;2674
3506300;Bernardino de Campos;10775
3506359;Bertioga;47645
3506409;Bilac;7048
3506508;Birigui;108728
3506607;Biritiba-Mirim;28575
3506706;Boa Esperança do Sul;13645
3506805;Bocaina;10859
3506904;Bofete;9618
3507001;Boituva;48314
3507100;Bom Jesus dos Perdões;19708
3507159;Bom Sucesso de Itararé;3571
3507209;Borá;805
3507308;Boracéia;4268
3507407;Borborema;14529
3507456;Borebi;2293
3507506;Botucatu;127328
3507605;Bragança Paulista;146744
3507704;Braúna;5021
3507753;Brejo Alegre;2573
3507803;Brodowski;21107
3507902;Brotas;21580
3508009;Buri;18563
